=============================================================
 starting episode: 0/2000
Client connected on 3105..............
=============================================================
 starting episode: 2/2000
Client connected on 3105..............
Ep:2 step:0(1710), a_t=[s=-0.37, t= 0.407988, b= 0.000000], r_t=[r= 0.50, prog= 0.50, pen=-0.00, r_old= 0.50], Reward=  0.50 /  0.50 /  7340.00, epsilon=  0.994, speed=  0.17, gear= 1, damage= 0.00
Ep:2 step:20(1730), a_t=[s=-0.86, t= 0.461252, b= 0.000000], r_t=[r= 81.71, prog= 107.42, pen=-25.71, r_old= 81.71], Reward=  948.38 /  948.38 /  7340.00, epsilon=  0.994, speed=  38.20, gear= 1, damage= 0.00
Ep:2 step:40(1750), a_t=[s=-0.55, t= 0.617782, b= 0.000000], r_t=[r= 1.50, prog= 6.90, pen=-5.39, r_old= 1.50], Reward=  457.74 /  469.23 /  7340.00, epsilon=  0.994, speed=  2.39, gear= 1, damage= 672.00
Ep:2 step:60(1770), a_t=[s=-0.11, t= 0.539563, b= 0.000000], r_t=[r= 7.27, prog= 24.93, pen=-17.66, r_old= 7.27], Reward=  526.73 /  538.23 /  7340.00, epsilon=  0.994, speed=  8.37, gear= 1, damage= 672.00
Ep:2 step:80(1790), a_t=[s= 1.00, t= 0.400607, b= 0.000000], r_t=[r= 21.30, prog= 99.71, pen=-78.42, r_old= 21.30], Reward=  885.14 /  896.63 /  7340.00, epsilon=  0.994, speed=  38.04, gear= 1, damage= 672.00
Ep:2 step:100(1810), a_t=[s= 0.43, t= 0.541755, b= 0.000000], r_t=[r=-0.14, prog= 0.33, pen=-0.47, r_old=-0.14], Reward=  816.39 /  846.86 /  7340.00, epsilon=  0.994, speed=  0.20, gear= 1, damage= 1325.00
Ep:2 step:120(1830), a_t=[s=-0.24, t= 0.411891, b= 0.000000], r_t=[r=-0.03, prog= 0.10, pen=-0.13, r_old=-0.03], Reward=  813.99 /  844.46 /  7340.00, epsilon=  0.994, speed=  0.06, gear= 1, damage= 1325.00
Ep:2 step:140(1850), a_t=[s= 1.00, t= 0.469649, b= 0.000000], r_t=[r=-0.11, prog= 0.65, pen=-0.76, r_old=-0.11], Reward=  812.33 /  842.80 /  7340.00, epsilon=  0.994, speed=  0.34, gear= 1, damage= 1325.00
Ep:2 step:160(1870), a_t=[s= 0.21, t= 0.508337, b= 0.000000], r_t=[r=-0.07, prog= 0.39, pen=-0.46, r_old=-0.07], Reward=  811.19 /  841.66 /  7340.00, epsilon=  0.994, speed=  0.20, gear= 1, damage= 1325.00
Ep:2 step:180(1890), a_t=[s=-0.52, t= 0.449935, b= 0.000000], r_t=[r=-0.03, prog= 0.40, pen=-0.43, r_old=-0.03], Reward=  809.78 /  840.25 /  7340.00, epsilon=  0.994, speed=  0.19, gear= 1, damage= 1325.00
Ep:2 step:200(1910), a_t=[s=-0.60, t= 0.616963, b= 0.000000], r_t=[r=-0.02, prog= 0.99, pen=-1.01, r_old=-0.02], Reward=  809.28 /  839.76 /  7340.00, epsilon=  0.994, speed=  0.46, gear= 1, damage= 1325.00
Ep:2 step:220(1930), a_t=[s= 0.09, t= 0.329333, b= 0.000000], r_t=[r= 0.01, prog= 0.25, pen=-0.24, r_old= 0.01], Reward=  809.33 /  839.80 /  7340.00, epsilon=  0.994, speed=  0.11, gear= 1, damage= 1325.00
Ep:2 step:240(1950), a_t=[s= 1.00, t= 0.597264, b= 0.000000], r_t=[r= 0.05, prog= 0.63, pen=-0.58, r_old= 0.05], Reward=  810.39 /  840.86 /  7340.00, epsilon=  0.993, speed=  0.27, gear= 1, damage= 1325.00
Ep:2 step:260(1970), a_t=[s= 0.44, t= 0.423299, b= 0.000000], r_t=[r= 0.08, prog= 0.63, pen=-0.55, r_old= 0.08], Reward=  812.20 /  842.67 /  7340.00, epsilon=  0.993, speed=  0.26, gear= 1, damage= 1325.00
Ep:2 step:280(1990), a_t=[s=-0.57, t= 0.580416, b= 0.000000], r_t=[r= 0.49, prog= 2.93, pen=-2.43, r_old= 0.49], Reward=  815.73 /  846.20 /  7340.00, epsilon=  0.993, speed=  1.17, gear= 1, damage= 1325.00
Ep:2 step:300(2010), a_t=[s=-0.18, t= 0.516656, b= 0.000000], r_t=[r= 1.09, prog= 4.16, pen=-3.07, r_old= 1.09], Reward=  829.46 /  859.93 /  7340.00, epsilon=  0.993, speed=  1.54, gear= 1, damage= 1325.00
