=============================================================
 starting episode: 0/2000
Client connected on 3101..............
Ep:2 step:1240(1700), a_t=[s= 0.33, t= 0.492710, b= 0.000000], r_t=[r=-0.78, prog= 1.85, pen=-1.39, r_old=-0.78], Reward= -2292.53 / -2292.53 / -2262.38, epsilon=  0.994, speed=  0.70, gear= 1, damage= 2268.00
Ep:2 step:1260(1720), a_t=[s=-0.77, t= 0.588897, b= 0.000000], r_t=[r=-3.12, prog= 9.35, pen=-6.23, r_old=-3.12], Reward= -2332.49 / -2332.49 / -2262.38, epsilon=  0.994, speed=  3.28, gear= 1, damage= 2268.00
Ep:2 step:1280(1740), a_t=[s=-1.00, t= 0.488468, b= 0.000000], r_t=[r=-26.21, prog= 90.76, pen=-56.47, r_old=-26.21], Reward= -2555.27 / -2555.27 / -2262.38, epsilon=  0.994, speed=  32.87, gear= 1, damage= 2268.00
Ep:2 step:1300(1760), a_t=[s=-1.00, t= 0.280525, b= 0.000000], r_t=[r=-0.26, prog= 0.23, pen=-0.34, r_old=-0.26], Reward= -3213.68 / -3213.68 / -2262.38, epsilon=  0.994, speed=  0.15, gear= 1, damage= 2615.00
Ep:2 step:1320(1780), a_t=[s=-0.50, t= 0.412434, b= 0.000000], r_t=[r=-0.17, prog= 0.18, pen=-0.23, r_old=-0.17], Reward= -3220.01 / -3220.01 / -2262.38, epsilon=  0.994, speed=  0.10, gear= 1, damage= 2615.00
Ep:2 step:1340(1800), a_t=[s=-0.10, t= 0.358039, b= 0.000000], r_t=[r=-0.36, prog= 0.41, pen=-0.49, r_old=-0.36], Reward= -3225.87 / -3225.87 / -2262.38, epsilon=  0.994, speed=  0.22, gear= 1, damage= 2615.00
Ep:2 step:1360(1820), a_t=[s= 0.38, t= 0.402893, b= 0.000000], r_t=[r=-0.29, prog= 0.37, pen=-0.41, r_old=-0.29], Reward= -3233.18 / -3233.18 / -2262.38, epsilon=  0.994, speed=  0.18, gear= 1, damage= 2615.00
Ep:2 step:1380(1840), a_t=[s=-1.00, t= 0.643008, b= 0.000000], r_t=[r=-0.41, prog= 0.56, pen=-0.60, r_old=-0.41], Reward= -3241.11 / -3241.11 / -2262.38, epsilon=  0.994, speed=  0.27, gear= 1, damage= 2615.00
Ep:2 step:1400(1860), a_t=[s=-0.52, t= 0.620001, b= 0.000000], r_t=[r=-0.58, prog= 0.88, pen=-0.88, r_old=-0.58], Reward= -3249.20 / -3249.20 / -2262.38, epsilon=  0.994, speed=  0.40, gear= 1, damage= 2615.00
Ep:2 step:1420(1880), a_t=[s=-0.15, t= 0.590852, b= 0.000000], r_t=[r=-0.40, prog= 0.63, pen=-0.61, r_old=-0.40], Reward= -3256.75 / -3256.75 / -2262.38, epsilon=  0.994, speed=  0.28, gear= 1, damage= 2615.00
Ep:2 step:1440(1900), a_t=[s= 0.68, t= 0.623103, b= 0.000000], r_t=[r=-0.88, prog= 1.49, pen=-1.38, r_old=-0.88], Reward= -3265.22 / -3265.22 / -2262.38, epsilon=  0.994, speed=  0.64, gear= 1, damage= 2615.00
Ep:2 step:1460(1920), a_t=[s=-1.00, t= 0.340720, b= 0.000000], r_t=[r=-0.21, prog= 0.40, pen=-0.35, r_old=-0.21], Reward= -3276.79 / -3276.79 / -2262.38, epsilon=  0.994, speed=  0.17, gear= 1, damage= 2615.00
Ep:2 step:1480(1940), a_t=[s= 0.25, t= 0.548429, b= 0.000000], r_t=[r=-0.95, prog= 1.90, pen=-1.58, r_old=-0.95], Reward= -3289.31 / -3289.31 / -2262.38, epsilon=  0.994, speed=  0.76, gear= 1, damage= 2615.00
Ep:2 step:1500(1960), a_t=[s= 1.00, t= 0.830009, b= 0.000000], r_t=[r=-2.02, prog= 4.36, pen=-3.47, r_old=-2.02], Reward= -3302.07 / -3302.07 / -2262.38, epsilon=  0.993, speed=  1.69, gear= 1, damage= 2615.00
Ep:2 step:1520(1980), a_t=[s= 0.06, t= 0.405409, b= 0.000000], r_t=[r=-0.84, prog= 2.05, pen=-1.52, r_old=-0.84], Reward= -3322.21 / -3322.21 / -2262.38, epsilon=  0.993, speed=  0.76, gear= 1, damage= 2615.00
Ep:2 step:1540(2000), a_t=[s= 0.47, t= 0.341124, b= 0.000386], r_t=[r=-1.69, prog= 4.75, pen=-3.27, r_old=-1.69], Reward= -3349.98 / -3349.98 / -2262.38, epsilon=  0.993, speed=  1.70, gear= 1, damage= 2615.00
Ep:2 step:1560(2020), a_t=[s= 0.41, t= 0.594337, b= 0.000000], r_t=[r=-2.38, prog= 7.35, pen=-4.83, r_old=-2.38], Reward= -3381.12 / -3381.12 / -2262.38, epsilon=  0.993, speed=  2.56, gear= 1, damage= 2615.00
