=============================================================
 starting episode: 700/2000
Waiting for server on 3112............
Count Down : 5
Client connected on 3112..............
Ep:700 step:1320(111012), a_t=[s=-0.98, t= 0.031365, b= 0.000000], r_t=[r=-0.04, prog=-0.07, pen= 0.03, r_old=-0.04], Reward=  1083.75 /  1083.75 /  275777.58, epsilon=  0.657, speed= -0.03, gear= 1, damage= 0.00
Ep:700 step:1340(111032), a_t=[s=-0.82, t= 0.010395, b= 0.000000], r_t=[r=-0.12, prog=-0.20, pen= 0.08, r_old=-0.12], Reward=  1084.10 /  1084.10 /  275777.58, epsilon=  0.657, speed= -0.08, gear= 1, damage= 0.00
Ep:700 step:1360(111052), a_t=[s=-0.99, t= 0.036295, b= 0.000000], r_t=[r= 0.04, prog= 0.16, pen=-0.12, r_old= 0.04], Reward=  1084.65 /  1084.65 /  275777.58, epsilon=  0.657, speed=  0.06, gear= 1, damage= 0.00
Ep:700 step:1380(111072), a_t=[s=-1.00, t= 0.072998, b= 0.000000], r_t=[r= 0.02, prog= 0.07, pen=-0.06, r_old= 0.02], Reward=  1084.06 /  1084.06 /  275777.58, epsilon=  0.657, speed=  0.03, gear= 1, damage= 0.00
Ep:700 step:1400(111092), a_t=[s=-1.00, t= 0.062966, b= 0.000000], r_t=[r= 0.06, prog= 0.27, pen=-0.21, r_old= 0.06], Reward=  1083.88 /  1083.88 /  275777.58, epsilon=  0.657, speed=  0.10, gear= 1, damage= 0.00
Ep:700 step:1420(111112), a_t=[s=-0.98, t= 0.029664, b= 0.000000], r_t=[r=-0.12, prog=-0.20, pen= 0.08, r_old=-0.12], Reward=  1083.41 /  1083.41 /  275777.58, epsilon=  0.657, speed= -0.08, gear= 1, damage= 0.00
Ep:700 step:1440(111132), a_t=[s=-0.99, t= 0.041147, b= 0.000000], r_t=[r= 0.03, prog= 0.14, pen=-0.11, r_old= 0.03], Reward=  1082.90 /  1082.90 /  275777.58, epsilon=  0.657, speed=  0.05, gear= 1, damage= 0.00
Ep:700 step:1460(111152), a_t=[s=-0.89, t= 0.012525, b= 0.000000], r_t=[r= 0.01, prog= 0.04, pen=-0.03, r_old= 0.01], Reward=  1083.47 /  1083.47 /  275777.58, epsilon=  0.657, speed=  0.02, gear= 1, damage= 0.00
Ep:700 step:1480(111172), a_t=[s=-0.98, t= 0.032123, b= 0.000000], r_t=[r=-0.13, prog=-0.22, pen= 0.09, r_old=-0.13], Reward=  1082.95 /  1082.95 /  275777.58, epsilon=  0.657, speed= -0.08, gear= 1, damage= 0.00
Ep:700 step:1500(111192), a_t=[s=-0.98, t= 0.029912, b= 0.000000], r_t=[r=-0.05, prog=-0.08, pen= 0.03, r_old=-0.05], Reward=  1081.78 /  1081.78 /  275777.58, epsilon=  0.657, speed= -0.03, gear= 1, damage= 0.00
Ep:700 step:1520(111212), a_t=[s=-0.95, t= 0.020268, b= 0.000000], r_t=[r= 0.03, prog= 0.15, pen=-0.11, r_old= 0.03], Reward=  1080.84 /  1080.84 /  275777.58, epsilon=  0.657, speed=  0.06, gear= 1, damage= 0.00
