=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:3 step:660(1582), a_t=[s=-1.00, t= 0.485418, b= 0.000000], r_t=[r=-0.94, prog= 1.62, pen=-1.48, r_old=-0.94], Reward= -1087.76 / -1087.76 / -960.73, epsilon=  0.995, speed=  0.60, gear= 1, damage= 503.00
Ep:3 step:680(1602), a_t=[s=-0.09, t= 0.575540, b= 0.000000], r_t=[r=-1.93, prog= 3.41, pen=-3.07, r_old=-1.93], Reward= -1112.48 / -1112.48 / -960.73, epsilon=  0.995, speed=  1.25, gear= 1, damage= 503.00
Ep:3 step:700(1622), a_t=[s=-0.14, t= 0.492699, b= 0.000000], r_t=[r=-1.25, prog= 2.27, pen=-2.01, r_old=-1.25], Reward= -1138.16 / -1138.16 / -960.73, epsilon=  0.995, speed=  0.82, gear= 1, damage= 503.00
Ep:3 step:720(1642), a_t=[s=-0.98, t= 0.506166, b= 0.000000], r_t=[r=-1.25, prog= 2.32, pen=-2.02, r_old=-1.25], Reward= -1164.06 / -1164.06 / -960.73, epsilon=  0.995, speed=  0.84, gear= 1, damage= 503.00
Ep:3 step:740(1662), a_t=[s=-0.39, t= 0.404872, b= 0.000000], r_t=[r=-1.11, prog= 2.10, pen=-1.81, r_old=-1.11], Reward= -1191.27 / -1191.27 / -960.73, epsilon=  0.994, speed=  0.75, gear= 1, damage= 503.00
Ep:3 step:760(1682), a_t=[s=-0.40, t= 0.449135, b= 0.000000], r_t=[r=-2.36, prog= 4.85, pen=-3.98, r_old=-2.36], Reward= -1229.31 / -1229.31 / -960.73, epsilon=  0.994, speed=  1.70, gear= 1, damage= 503.00
Ep:3 step:780(1702), a_t=[s=-0.94, t= 0.541408, b= 0.000000], r_t=[r=-0.87, prog= 1.78, pen=-1.46, r_old=-0.87], Reward= -1255.08 / -1255.08 / -960.73, epsilon=  0.994, speed=  0.62, gear= 1, damage= 503.00
Ep:3 step:800(1722), a_t=[s= 1.00, t= 0.662682, b= 0.000000], r_t=[r=-11.01, prog= 25.67, pen=-19.56, r_old=-11.01], Reward= -1310.38 / -1310.38 / -960.73, epsilon=  0.994, speed=  8.73, gear= 1, damage= 503.00
Ep:3 step:820(1742), a_t=[s=-0.81, t= 0.445050, b= 0.000000], r_t=[r=-1.61, prog= 3.73, pen=-2.85, r_old=-1.61], Reward= -1365.99 / -1365.99 / -960.73, epsilon=  0.994, speed=  1.27, gear= 1, damage= 503.00
Ep:3 step:840(1762), a_t=[s=-0.97, t= 0.490126, b= 0.000000], r_t=[r=-3.15, prog= 7.44, pen=-5.63, r_old=-3.15], Reward= -1419.55 / -1419.55 / -960.73, epsilon=  0.994, speed=  2.53, gear= 1, damage= 503.00
Ep:3 step:860(1782), a_t=[s=-0.11, t= 0.337671, b= 0.000000], r_t=[r=-3.32, prog= 8.08, pen=-6.01, r_old=-3.32], Reward= -1478.93 / -1478.93 / -960.73, epsilon=  0.994, speed=  2.74, gear= 1, damage= 503.00
Ep:3 step:880(1802), a_t=[s=-0.97, t= 0.521527, b= 0.000000], r_t=[r=-2.84, prog= 7.39, pen=-5.30, r_old=-2.84], Reward= -1577.86 / -1577.86 / -960.73, epsilon=  0.994, speed=  2.48, gear= 1, damage= 503.00
Ep:3 step:900(1822), a_t=[s=-0.31, t= 0.474704, b= 0.000000], r_t=[r=-2.14, prog= 5.47, pen=-3.96, r_old=-2.14], Reward= -1629.51 / -1629.51 / -960.73, epsilon=  0.994, speed=  1.85, gear= 1, damage= 503.00
Ep:3 step:920(1842), a_t=[s=-0.70, t= 0.424231, b= 0.000000], r_t=[r=-1.64, prog= 4.32, pen=-3.08, r_old=-1.64], Reward= -1707.98 / -1707.98 / -960.73, epsilon=  0.994, speed=  1.46, gear= 1, damage= 503.00
Ep:3 step:940(1862), a_t=[s= 0.22, t= 0.567664, b= 0.000000], r_t=[r=-4.87, prog= 12.95, pen=-9.19, r_old=-4.87], Reward= -1764.57 / -1764.57 / -960.73, epsilon=  0.994, speed=  4.37, gear= 1, damage= 503.00
Ep:3 step:960(1882), a_t=[s=-0.56, t= 0.573526, b= 0.000000], r_t=[r=-7.28, prog= 21.05, pen=-14.30, r_old=-7.28], Reward= -1865.27 / -1865.27 / -960.73, epsilon=  0.994, speed=  7.05, gear= 1, damage= 503.00
Ep:3 step:980(1902), a_t=[s=-1.00, t= 0.480186, b= 0.000000], r_t=[r=-1.57, prog= 4.48, pen=-3.06, r_old=-1.57], Reward= -1946.35 / -1946.35 / -960.73, epsilon=  0.994, speed=  1.51, gear= 1, damage= 503.00
Ep:3 step:1000(1922), a_t=[s=-0.13, t= 0.513234, b= 0.000000], r_t=[r=-6.55, prog= 19.90, pen=-13.18, r_old=-6.55], Reward= -2051.48 / -2051.48 / -960.73, epsilon=  0.994, speed=  6.67, gear= 1, damage= 503.00
Ep:3 step:1020(1942), a_t=[s= 0.33, t= 0.384333, b= 0.000000], r_t=[r=-7.11, prog= 23.01, pen=-14.78, r_old=-7.11], Reward= -2148.81 / -2148.81 / -960.73, epsilon=  0.994, speed=  7.69, gear= 1, damage= 503.00
