=============================================================
 starting episode: 200/2000
Waiting for server on 3104............
Count Down : 5
Client connected on 3104..............
Ep:202 step:380(80245), a_t=[s=-0.98, t= 0.457330, b= 0.000000], r_t=[r=-0.13, prog= 0.38, pen=-0.52, r_old=-0.13], Reward=  30196.17 /  30196.17 /  120736.18, epsilon=  0.796, speed=  0.23, gear= 1, damage= 177.00
Ep:202 step:400(80265), a_t=[s=-0.80, t= 0.422310, b= 0.000000], r_t=[r=-0.00, prog= 0.01, pen=-0.02, r_old=-0.00], Reward=  30194.18 /  30194.18 /  120736.18, epsilon=  0.796, speed=  0.01, gear= 1, damage= 177.00
Ep:202 step:420(80285), a_t=[s=-0.43, t= 0.355055, b= 0.000000], r_t=[r=-0.05, prog= 0.36, pen=-0.41, r_old=-0.05], Reward=  30192.57 /  30192.57 /  120736.18, epsilon=  0.796, speed=  0.18, gear= 1, damage= 177.00
Ep:202 step:440(80305), a_t=[s=-0.38, t= 0.436737, b= 0.000000], r_t=[r=-0.02, prog= 0.16, pen=-0.18, r_old=-0.02], Reward=  30191.65 /  30191.65 /  120736.18, epsilon=  0.796, speed=  0.08, gear= 1, damage= 177.00
Ep:202 step:460(80325), a_t=[s=-0.74, t= 0.400433, b= 0.000000], r_t=[r=-0.03, prog= 0.46, pen=-0.49, r_old=-0.03], Reward=  30190.81 /  30190.81 /  120736.18, epsilon=  0.796, speed=  0.22, gear= 1, damage= 177.00
Ep:202 step:480(80345), a_t=[s=-1.00, t= 0.409141, b= 0.000000], r_t=[r= 0.01, prog= 0.81, pen=-0.80, r_old= 0.01], Reward=  30190.60 /  30190.60 /  120736.18, epsilon=  0.795, speed=  0.37, gear= 1, damage= 177.00
Ep:202 step:500(80365), a_t=[s=-0.86, t= 0.367905, b= 0.000000], r_t=[r= 0.06, prog= 0.86, pen=-0.81, r_old= 0.06], Reward=  30191.20 /  30191.20 /  120736.18, epsilon=  0.795, speed=  0.38, gear= 1, damage= 177.00
Ep:202 step:520(80385), a_t=[s=-0.99, t= 0.474666, b= 0.000000], r_t=[r= 0.24, prog= 1.78, pen=-1.54, r_old= 0.24], Reward=  30193.74 /  30193.74 /  120736.18, epsilon=  0.795, speed=  0.73, gear= 1, damage= 177.00
Ep:202 step:540(80405), a_t=[s= 0.08, t= 0.568458, b= 0.000000], r_t=[r= 0.22, prog= 1.14, pen=-0.92, r_old= 0.22], Reward=  30198.81 /  30198.81 /  120736.18, epsilon=  0.795, speed=  0.45, gear= 1, damage= 177.00
Ep:202 step:560(80425), a_t=[s=-0.10, t= 0.444950, b= 0.000000], r_t=[r= 0.71, prog= 2.76, pen=-2.05, r_old= 0.71], Reward=  30210.22 /  30210.22 /  120736.18, epsilon=  0.795, speed=  1.03, gear= 1, damage= 177.00
Ep:202 step:580(80445), a_t=[s= 0.66, t= 0.495055, b= 0.000000], r_t=[r= 31.45, prog= 71.59, pen=-40.14, r_old= 31.45], Reward=  30406.75 /  30406.75 /  120736.18, epsilon=  0.795, speed=  23.95, gear= 1, damage= 177.00
