=============================================================
 starting episode: 1000/2000
Client connected on 3105..............
Ep:1001 step:860(388269), a_t=[s= 0.10, t= 0.952338, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  320971.56 /  320971.56 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:880(388289), a_t=[s= 0.14, t= 0.925179, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  328678.06 /  328678.06 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:900(388309), a_t=[s= 0.04, t= 0.966485, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  336384.55 /  336384.55 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:920(388329), a_t=[s=-0.02, t= 0.944894, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  344091.04 /  344091.04 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:940(388349), a_t=[s= 0.23, t= 0.957018, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  351797.53 /  351797.53 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:960(388369), a_t=[s= 0.10, t= 0.944743, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  359504.03 /  359504.03 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:980(388389), a_t=[s= 0.10, t= 0.953559, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  367210.52 /  367210.52 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1000(388409), a_t=[s= 0.04, t= 0.954678, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  374917.01 /  374917.01 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1020(388429), a_t=[s= 0.06, t= 0.964650, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  382623.50 /  382623.50 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1040(388449), a_t=[s= 0.21, t= 0.948831, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  390330.00 /  390330.00 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1060(388469), a_t=[s= 0.21, t= 0.947641, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  398036.49 /  398036.49 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1080(388489), a_t=[s= 0.20, t= 0.945125, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  405742.98 /  405742.98 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1100(388509), a_t=[s= 0.04, t= 0.952777, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  413449.47 /  413449.47 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1120(388529), a_t=[s= 0.27, t= 0.950230, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  421155.96 /  421155.96 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1140(388549), a_t=[s= 0.11, t= 0.959297, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  428862.46 /  428862.46 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1160(388569), a_t=[s= 0.20, t= 0.941484, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  436568.95 /  436568.95 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1180(388589), a_t=[s= 0.12, t= 0.933222, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  444275.44 /  444275.44 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1200(388609), a_t=[s= 0.21, t= 0.962600, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  451981.93 /  451981.93 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1220(388629), a_t=[s= 0.26, t= 0.954247, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  459688.43 /  459688.43 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1240(388649), a_t=[s= 0.20, t= 0.944822, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  467394.92 /  467394.92 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1260(388669), a_t=[s= 0.18, t= 0.954689, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  475101.41 /  475101.41 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1280(388689), a_t=[s= 0.25, t= 0.947162, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  482807.90 /  482807.90 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1300(388709), a_t=[s= 0.10, t= 0.955672, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  490514.40 /  490514.40 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1320(388729), a_t=[s= 0.13, t= 0.938363, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  498220.89 /  498220.89 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1340(388749), a_t=[s= 0.17, t= 0.955709, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  505927.38 /  505927.38 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1360(388769), a_t=[s= 0.13, t= 0.959044, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  513633.87 /  513633.87 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1380(388789), a_t=[s= 0.06, t= 0.937327, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  521340.36 /  521340.36 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1400(388809), a_t=[s= 0.11, t= 0.962809, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  529046.86 /  529046.86 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1420(388829), a_t=[s= 0.05, t= 0.926300, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  536753.35 /  536753.35 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1440(388849), a_t=[s= 0.01, t= 0.943330, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  544459.84 /  544459.84 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:1460(388869), a_t=[s=-0.09, t= 0.956717, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  552166.33 /  552166.33 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
